scientific_name,author,year,bibliography,image_url,family,genus,plant_wiki,plant_id
Panicum trachyrhachis,Benth.,1878.0,Fl. Austral. 7: 490 (1878),https://d2seqvvyy3b8p2.cloudfront.net/165c577840d3a41d0b48350d266be7ae.jpg,Poaceae,Panicum,https://en.wikipedia.org/wiki/List_of_Panicum_species,542
Diospyros kurzii,Hiern,1873.0,Trans. Cambridge Philos. Soc. 12: 162 (1873),https://d2seqvvyy3b8p2.cloudfront.net/1019f4a6c06ed121dbfec56d4aeaf389.jpg,Ebenaceae,Diospyros,https://en.wikipedia.org/wiki/Diospyros_kurzii,543
Sterculia parviflora,Roxb.,1831.0,Gen. Hist. 1: 516 (1831),https://bs.plantnet.org/image/o/b397519362820bdc2f60296ab13de90347831450,Malvaceae,Sterculia,https://en.wikipedia.org/wiki/Sterculia_parviflora,544
Codonorchis lessonii,Lindl.,1840.0,Gen. Sp. Orchid. Pl.: 411 (1840),https://bs.plantnet.org/image/o/25c9c6c921296b8107443e764f35861f014cd60c,Orchidaceae,Codonorchis,https://en.wikipedia.org/wiki/Codonorchis,545
Pelargonium peltatum,(L.) L'Hér.,1789.0,"W.Aiton, Hort. Kew. 2: 427 (1789)",https://bs.plantnet.org/image/o/6f2376137db54781fdcda9daddcdf44d6a659c1c,Geraniaceae,Pelargonium,https://en.wikipedia.org/wiki/Pelargonium_peltatum,546
Euphorbia lecheoides,Millsp.,1906.0,"Publ. Field Columb. Mus., Bot. Ser. 2: 163 (1906)",https://d2seqvvyy3b8p2.cloudfront.net/4cc8d72c4952c8d9994130aede2f35f0.jpg,Euphorbiaceae,Euphorbia,https://en.wikipedia.org/wiki/List_of_Euphorbia_species_(G%E2%80%93O),547
Agrostis thurberiana,Hitchc.,1905.0,Bull. Bur. Pl. Industr. U.S.D.A. 68: 23 (1905),https://d2seqvvyy3b8p2.cloudfront.net/39c05dcd2ab015e41122e7754b195776.jpg,Poaceae,Agrostis,https://en.wikipedia.org/wiki/Agrostis_thurberiana,548
Galactia dubia,DC.,1825.0,Prodr. 2: 238 (1825),https://d2seqvvyy3b8p2.cloudfront.net/55446b88c8e7c9c1f68b2c94bd512b34.jpg,Fabaceae,Galactia,,549
Pavonia hastata,Cav.,1787.0,Diss. 3: 138 (1787),https://bs.plantnet.org/image/o/0ecd73ec3f19e2620af64296eba975e33b35b88a,Malvaceae,Pavonia,https://en.wikipedia.org/wiki/Pavonia_hastata,550
Garcinia mannii,Oliv.,1868.0,Fl. Trop. Afr. 1: 167 (1868),https://d2seqvvyy3b8p2.cloudfront.net/f25e9b68475be83a52f8b660dc33e45a.jpg,Clusiaceae,Garcinia,https://en.wikipedia.org/wiki/Garcinia_mannii,551
Carex mertensii,J.D.Prescott ex Bong.,1833.0,Veg. Sitcha: 51 (1833),https://d2seqvvyy3b8p2.cloudfront.net/6acd45038ff027ac900b50b5b4ae9dda.jpg,Cyperaceae,Carex,https://en.wikipedia.org/wiki/Carex_mertensii,552
Jatropha curcas,L.,1753.0,Sp. Pl.: 1006 (1753),https://bs.plantnet.org/image/o/336d1eb15ed21fe8f67449133dec037d1f0604f6,Euphorbiaceae,Jatropha,https://en.wikipedia.org/wiki/Jatropha_curcas,553
Argyreia mollis,(Burm.f.) Choisy,1834.0,Mém. Soc. Phys. Genève 6: 421 (1833 publ. 1834),https://d2seqvvyy3b8p2.cloudfront.net/73e4ab9c847e2b79481e3cf1edbb7d1b.jpg,Convolvulaceae,Argyreia,https://en.wikipedia.org/wiki/Argyreia,554
Asplenium simile,Blume,1828.0,Enum. Pl. Javae 2: 181 (1828),https://d2seqvvyy3b8p2.cloudfront.net/9581cbad68bab9936084e5825d1ab8f7.jpg,Aspleniaceae,Asplenium,,555
