plant_id,full_name,botanist_wiki,botanist_last_name
50,Grenville Llewellyn Lucas,http://en.wikipedia.org/wiki/Grenville_Llewellyn_Lucas,lucas
50,Arthur Henry Shakespeare Lucas,http://en.wikipedia.org/wiki/Arthur_Henry_Shakespeare_Lucas,lucas
51,Henry Baines,http://en.wikipedia.org/wiki/Henry_Baines_(botanist),baines
52,Nikolaus Joseph von Jacquin,http://en.wikipedia.org/wiki/Nikolaus_Joseph_von_Jacquin,jacquin
52,Joseph Franz von Jacquin,http://en.wikipedia.org/wiki/Joseph_Franz_von_Jacquin,jacquin
53,William John Burchell,http://en.wikipedia.org/wiki/William_John_Burchell,burchell
54,Macgregor,,macgregor
54,Brass,,brass
54,Ernest Friedrich Gilg,http://en.wikipedia.org/wiki/Ernest_Friedrich_Gilg,gilg
54,Fleischmann,,fleischmann
55,Jan Svatopluk Presl,http://en.wikipedia.org/wiki/Jan_Svatopluk_Presl,presl
55,Carl Borivoj Presl,http://en.wikipedia.org/wiki/Carl_Borivoj_Presl,presl
56,William Herbert,http://en.wikipedia.org/wiki/William_Herbert_(botanist),herbert
57,David Douglas,http://en.wikipedia.org/wiki/David_Douglas_(botanist),douglas
57,Archibald Menzies,http://en.wikipedia.org/wiki/Archibald_Menzies,menzies
57,Parham,,parham
57,Bergman,,bergman
57,Clifford R. Parks,http://en.wikipedia.org/w/index.php?title=Clifford_R._Parks&action=edit&redlink=1,parks
57,Grant,,grant
57,Joseph Rock,http://en.wikipedia.org/wiki/Joseph_Rock,rock
57,Howard Francis Leonard Rock,http://en.wikipedia.org/w/index.php?title=Howard_Francis_Leonard_Rock&action=edit&redlink=1,rock
57,Eustace Wilkinson Jones,http://en.wikipedia.org/w/index.php?title=Eustace_Wilkinson_Jones&action=edit&redlink=1,jones
57,George Neville Jones,http://en.wikipedia.org/wiki/George_Neville_Jones,jones
57,Marcus Eugene Jones,http://en.wikipedia.org/wiki/Marcus_Eugene_Jones,jones
57,Sykes,,sykes
57,Erling Christophersen,http://en.wikipedia.org/wiki/Erling_Christophersen,christophersen
57,Charles Edward Hubbard,http://en.wikipedia.org/wiki/Charles_Edward_Hubbard,hubbard
57,Christian Ferdinand Friedrich von Krauss,http://en.wikipedia.org/wiki/Christian_Ferdinand_Friedrich_von_Krauss,krauss
57,Johan Carl Krauss,http://en.wikipedia.org/wiki/Johan_Carl_Krauss,krauss
57,Robert Brown,http://en.wikipedia.org/wiki/Robert_Brown_(Scottish_botanist_from_Montrose),brown
57,Clair Alan Brown,http://en.wikipedia.org/wiki/Clair_Alan_Brown,brown
57,Nicholas Edward Brown,http://en.wikipedia.org/wiki/Nicholas_Edward_Brown,brown
57,Addison Brown,http://en.wikipedia.org/wiki/Addison_Brown,brown
57,Andrew Phillip Brown,http://en.wikipedia.org/wiki/Andrew_Phillip_Brown,brown
57,William Brown,http://en.wikipedia.org/wiki/William_Brown_(plant_pathologist),brown
57,Koidzum,,koidzum
57,James Edward Smith,http://en.wikipedia.org/wiki/James_Edward_Smith,smith
57,Johannes Jacobus Smith,http://en.wikipedia.org/wiki/Johannes_Jacobus_Smith,smith
57,Winifred Smith,http://en.wikipedia.org/wiki/Winifred_Smith,smith
57,Christo Albertyn Smith,http://en.wikipedia.org/wiki/Christo_Albertyn_Smith,smith
57,Charles Piper Smith,http://en.wikipedia.org/wiki/Charles_Piper_Smith,smith
57,Gerard Edwards Smith,http://en.wikipedia.org/wiki/Gerard_Edwards_Smith,smith
57,Gilbert Morgan Smith,http://en.wikipedia.org/wiki/Gilbert_Morgan_Smith,smith
57,Henry George Smith,http://en.wikipedia.org/wiki/Henry_George_Smith,smith
57,Hamilton Lanphere Smith,http://en.wikipedia.org/wiki/Hamilton_Lanphere_Smith,smith
57,Albert Charles Smith,http://en.wikipedia.org/wiki/Albert_Charles_Smith,smith
57,Alan Reid Smith,http://en.wikipedia.org/w/index.php?title=Alan_Reid_Smith&action=edit&redlink=1,smith
57,William Wright Smith,http://en.wikipedia.org/wiki/William_Wright_Smith,smith
57,Volkens,,volkens
57,Gabriel Edwin,http://en.wikipedia.org/w/index.php?title=Gabriel_Edwin&action=edit&redlink=1,edwin
57,Harry Veitch,http://en.wikipedia.org/wiki/Harry_Veitch,veitch
57,John Gould Veitch,http://en.wikipedia.org/wiki/John_Gould_Veitch,veitch
57,Peter Veitch,http://en.wikipedia.org/wiki/Peter_Veitch,veitch
57,Harry James Veitch,http://en.wikipedia.org/wiki/Harry_James_Veitch,veitch
58,Christian Gottfried Ehrenberg,http://en.wikipedia.org/wiki/Christian_Gottfried_Ehrenberg,ehrenberg
58,Charles Noyes Forbes,http://en.wikipedia.org/wiki/Charles_Noyes_Forbes,forbes
58,Edward Forbes,http://en.wikipedia.org/wiki/Edward_Forbes,forbes
58,Henry Ogg Forbes,http://en.wikipedia.org/wiki/Henry_Ogg_Forbes,forbes
58,Skottsberg,,skottsberg
58,William (Wilhelm) Hillebrand,http://en.wikipedia.org/wiki/William_Hillebrand,hillebrand
58,William Francis Hillebrand,http://en.wikipedia.org/wiki/William_Francis_Hillebrand,hillebrand
58,Sherff,,sherff
59,Cirilo Nelson,http://en.wikipedia.org/wiki/Cirilo_Nelson,nelson
59,Carl Z. Nelson,http://en.wikipedia.org/w/index.php?title=Carl_Z._Nelson&action=edit&redlink=1,nelson
59,Ernest Charles Nelson,http://en.wikipedia.org/wiki/Ernest_Charles_Nelson,nelson
59,Elias Emanuel Nelson,http://en.wikipedia.org/w/index.php?title=Elias_Emanuel_Nelson&action=edit&redlink=1,nelson
59,Erich Nelson,http://en.wikipedia.org/wiki/Erich_Nelson,nelson
59,Edward William Nelson,http://en.wikipedia.org/wiki/Edward_William_Nelson,nelson
59,Ira Schreiber Nelson,http://en.wikipedia.org/wiki/Ira_Schreiber_Nelson,nelson
59,David Nelson,http://en.wikipedia.org/wiki/David_Nelson_(botanical_collector),nelson
59,Aven Nelson,http://en.wikipedia.org/wiki/Aven_Nelson,nelson
60,Kurt Sprengel,http://en.wikipedia.org/wiki/Kurt_Sprengel,sprengel
60,Christian Konrad (Conrad) Sprengel,http://en.wikipedia.org/wiki/Christian_Konrad_Sprengel,sprengel
60,Anton Sprengel,http://en.wikipedia.org/w/index.php?title=Anton_Sprengel&action=edit&redlink=1,sprengel
61,Harry Bolus,http://en.wikipedia.org/wiki/Harry_Bolus,bolus
62,Ludwig Preiss,http://en.wikipedia.org/wiki/Ludwig_Preiss,preiss
63,Ellsworth Jerome Hill,http://en.wikipedia.org/wiki/Ellsworth_Jerome_Hill,hill
63,John Hill,http://en.wikipedia.org/wiki/John_Hill_(botanist),hill
63,Kenneth D. Hill,http://en.wikipedia.org/wiki/Ken_Hill_(botanist),hill
63,Albert Joseph Hill,http://en.wikipedia.org/w/index.php?title=Albert_Joseph_Hill&action=edit&redlink=1,hill
63,Arthur William Hill,http://en.wikipedia.org/wiki/Arthur_William_Hill,hill
63,Walter Hill,http://en.wikipedia.org/wiki/Walter_Hill_(garden_curator),hill
64,Thomas Kirk,http://en.wikipedia.org/wiki/Thomas_Kirk_(botanist),kirk
65,Carl Peter Thunberg,http://en.wikipedia.org/wiki/Carl_Peter_Thunberg,thunberg
66,Perrottet,,perrottet
66,Gaudichaud,,gaudichaud
66,Herman Johannes Lam,http://en.wikipedia.org/wiki/Herman_Johannes_Lam,lam
66,John Medley Wood,http://en.wikipedia.org/wiki/John_Medley_Wood,wood
66,Geoffrey H.S. Wood,http://en.wikipedia.org/w/index.php?title=Geoffrey_H.S._Wood&action=edit&redlink=1,wood
66,Howard Page Wood,http://en.wikipedia.org/w/index.php?title=Howard_Page_Wood&action=edit&redlink=1,wood
66,Alphonso Wood,http://en.wikipedia.org/wiki/Alphonso_Wood,wood
66,William Wood,http://en.wikipedia.org/wiki/William_Wood_(botanist),wood
67,Joseph Maiden,http://en.wikipedia.org/wiki/Joseph_Maiden,maiden
68,Carl Peter Thunberg,http://en.wikipedia.org/wiki/Carl_Peter_Thunberg,thunberg
69,Henry Collett,http://en.wikipedia.org/wiki/Henry_Collett,collett
69,Ducloux,,ducloux
70,Harley Harris Bartlett,http://en.wikipedia.org/wiki/Harley_Harris_Bartlett,bartlett
71,Robert Brown,http://en.wikipedia.org/wiki/Robert_Brown_(Scottish_botanist_from_Montrose),brown
71,Clair Alan Brown,http://en.wikipedia.org/wiki/Clair_Alan_Brown,brown
